timestamp,price,total_volume,market_cap
2019-07-10 00:00:00,12544.167261709219,35885342263.04269,223082925042.62775
2019-07-11 00:00:00,12166.398288868606,42163626088.16242,216918064309.90915
2019-07-12 00:00:00,11385.060490564521,37061858272.52717,202244103401.21423
2019-07-13 00:00:00,11804.562793905448,30078548879.930676,210058300503.64526
2019-07-14 00:00:00,11418.511855491488,28485045772.443813,202979011731.3034
2019-07-15 00:00:00,10285.461109066944,29857566850.991676,183265698057.30487
2019-07-16 00:00:00,10911.345158309634,37553147017.32781,195225460386.1362
2019-07-17 00:00:00,9538.827124243868,34409824868.73926,170100385848.08353
2019-07-18 00:00:00,9657.303101319074,33328381504.616615,172236725014.4112
2019-07-19 00:00:00,10636.155728360647,34034952895.23173,189588944050.24216
2019-07-20 00:00:00,10536.565849576118,28858600367.989872,187718958960.57816
2019-07-21 00:00:00,10774.281137633849,26163874235.136333,190839615019.19455
2019-07-22 00:00:00,10607.463560702123,22814710058.302956,189302289398.0001
2019-07-23 00:00:00,10343.318139598357,21903683695.255173,184582963699.30176
2019-07-24 00:00:00,9936.380762347033,22986552398.152935,177060329754.31393
2019-07-25 00:00:00,9799.306312967936,33861034798.8304,175298806837.89883
2019-07-26 00:00:00,9878.23193291115,21622492404.321915,176569486287.9306
2019-07-27 00:00:00,9845.999447078504,19942172080.922203,175634298896.93475
2019-07-28 00:00:00,9447.678401413306,21257664351.47119,168472890623.8368
2019-07-29 00:00:00,9534.755426833233,18649152592.721436,170325673262.38525
2019-07-30 00:00:00,9510.593552181648,18424113909.504322,169247002246.27844
2019-07-31 00:00:00,9568.437452164315,20138691741.084114,170790961770.58182
2019-08-01 00:00:00,10062.996285663326,22957330875.71389,179525433372.0441
2019-08-02 00:00:00,10361.312000080692,23668036460.12257,185025579624.96027
2019-08-03 00:00:00,10529.171907427639,24128945574.578556,187993708173.329
2019-08-04 00:00:00,10791.200523159,22296222952.509827,192658484290.18
2019-08-05 00:00:00,10951.593834840049,23160251364.75935,195575205441.64883
2019-08-06 00:00:00,11818.525531066103,30944497414.37189,210831100251.74985
2019-08-07 00:00:00,11510.164154730011,31588470767.84309,204493918413.86813
2019-08-08 00:00:00,11970.657556451994,30083670251.80272,213446022648.57455
2019-08-09 00:00:00,12024.331570998236,26678574728.135372,214023992147.5213
2019-08-10 00:00:00,11852.561606995518,26240065034.99351,211775940827.03262
2019-08-11 00:00:00,11327.842642233223,24949094386.512787,202567916483.04468
2019-08-12 00:00:00,11549.998354322472,23042219585.47862,206323428608.19785
2019-08-13 00:00:00,11381.241355678554,19933740545.556496,203438784510.78018
2019-08-14 00:00:00,10903.6549918801,22886684527.86748,194716791550.1683
2019-08-15 00:00:00,10016.217389275296,26620934497.854107,178691691521.25024
2019-08-16 00:00:00,10295.87714290961,31003755661.55879,183808182261.62988
2019-08-17 00:00:00,10324.993597415598,28168163140.752064,184635409004.2465
2019-08-18 00:00:00,10224.218706633936,20998246406.662758,182893178091.06567
2019-08-19 00:00:00,10309.872435928555,19708814223.24016,184381498343.8289
2019-08-20 00:00:00,10895.97184442924,22097997941.55373,194884121164.64297
2019-08-21 00:00:00,10743.789313302059,19460170323.014637,192182485883.75177
2019-08-22 00:00:00,10124.058214168905,22757336326.19253,181094936743.7679
2019-08-23 00:00:00,10127.78985767835,20144228964.473103,181311699889.67206
2019-08-24 00:00:00,10385.509090033882,18313019852.750786,187878412535.86255
2019-08-25 00:00:00,10145.01247970698,21187546608.001797,181764456091.20227
2019-08-26 00:00:00,10090.061576030994,17899166778.010113,180491202154.3331
2019-08-27 00:00:00,10334.911854471331,23392461462.60586,184989701185.5528
2019-08-28 00:00:00,10167.889390020262,20937236587.026714,181891056658.03235
2019-08-29 00:00:00,9753.48704889705,22948105441.570866,174174790993.24042
2019-08-30 00:00:00,9485.141423780755,20461661030.393738,169825879929.63724
2019-08-31 00:00:00,9588.98750205815,16388578393.607964,171703455568.1713
2019-09-01 00:00:00,9607.289264302583,15364904438.864746,172069023390.1022
2019-09-02 00:00:00,9729.266231867814,15003447441.307947,174169160998.9338
2019-09-03 00:00:00,10323.022660378076,20258697359.12371,184367332385.84335
2019-09-04 00:00:00,10620.165189356907,23588848898.316532,190297653628.6036
2019-09-05 00:00:00,10573.515179027892,21198071664.662186,189378108188.9303
2019-09-06 00:00:00,10570.249940786205,18952591605.050835,189354988380.25543
2019-09-07 00:00:00,10350.748325717243,23555216964.15641,185513074361.89188
2019-09-08 00:00:00,10461.547731202416,18658457493.748917,187490153206.3296
2019-09-09 00:00:00,10404.333900445994,16804085431.159666,186487925900.29575
2019-09-10 00:00:00,10321.931613525778,21012460993.656765,185101736449.4789
2019-09-11 00:00:00,10121.102297214318,17425806760.661724,181228983504.8709
2019-09-12 00:00:00,10150.71002363705,19989784060.802094,182006412816.34204
2019-09-13 00:00:00,10401.319919342226,17986804176.941467,186490286819.08597
